uid,civilite,prenom,nom,date_naissance,ville_naissance,profession_declaree,insee_cat_socpro,insee_fam_socpro,groupe_politique,departement,circonscription
PA842073,M.,Gaëtan,Dussausaye,1994-04-05,Brétigny-sur-Orge,(55) - Employé de commerce,Employés de commerce,Employés,Rassemblement National,Vosges,2
PA842085,M.,Sébastien,Humbert,1990-07-10,Epinal,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Vosges,4
PA842097,Mme,Sophie-Laurence,Roy,1955-12-23,Paris,(31) - Profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Yonne,2
PA842105,M.,Raphaël,Arnault,1995-01-08,Lyon,(52) - Employé civil et agent de service de la fonction publique,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,La France insoumise - Nouveau Front Populaire,Vaucluse,1
PA842121,M.,Nicolas,Tryzna,1987-12-15,Paris,Formateur,Professions libérales,Cadres et professions intellectuelles supérieures,Droite Républicaine,Val-de-Marne,7
PA842125,M.,Thomas,Lam,1981-10-22,Villeurbanne,(23) - Chef d'entreprise de 10 salariés ou plus,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Horizons & Indépendants,Hauts-de-Seine,2
PA842141,Mme,Élisabeth,de Maistre,1975-10-07,Paris,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Droite Républicaine,Hauts-de-Seine,9
PA842147,M.,Christophe,Mongardien,1963-01-09,Marseille,Ingénieur - Responsable Support Technique Grands Comptes,Ingénieurs et cadres techniques d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Hauts-de-Seine,13
PA842155,M.,Aly,Diouara,1987-03-01,La Courneuve,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Seine-Saint-Denis,5
PA842183,M.,Benoît,Blanchard,1961-05-01,La Rochelle,Directeur d'un laboratoire de recherche,Ingénieurs et cadres techniques d’entreprise,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Val-d'Oise,4
PA842187,Mme,Gabrielle,Cathala,1992-05-14,Talence,Secrétaire générale de groupe parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Val-d'Oise,6
PA842195,M.,Romain,Eskenazi,1986-05-04,Paris,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Val-d'Oise,7
PA842211,Mme,Béatrice,Bellay,1975-07-25,Villepinte,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Martinique,3
PA842227,M.,Joseph,Rivière,1971-10-15,Saint-Denis,(45) - Profession intermédiaire administrative de la fonction publique,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Rassemblement National,Réunion,3
PA842255,Mme,Anne,Sicard,1967-06-15,Strasbourg,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Val-d'Oise,1
PA842263,Mme,Ayda,Hadizadeh,1982-02-12,Téhéran,(37) - Cadre administratif et commercial d'entreprise,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Val-d'Oise,2
PA842271,M.,Emmanuel,Maurel,1973-05-10,Epinay-sur-Seine,"(34) - Professeur, profession scientifique","Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Gauche Démocrate et Républicaine,Val-d'Oise,3
PA842279,Mme,Anchya,Bamana,1971-03-12,Sada,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Rassemblement National,Mayotte,2
PA842299,M.,Emmanuel,Tjibaou,1976-03-17,Nouméa,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Nouvelle-Calédonie,2
PA842311,M.,Vincent,Caure,1992-12-31,Castres,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Français établis hors de France,3
PA857021,M.,Alim,Latrèche,1979-12-05,Grenoble,Ingénieur-Cadre,Ingénieurs et cadres techniques d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Isère,1
PA870009,M.,Lionel,Duparay,1981-02-07,Châtenay-Malabry,Ingénieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Saône-et-Loire,5
PA878242,M.,Antoine,Valentin,1992-10-16,Bonneville,chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Union des droites pour la République,Haute-Savoie,3
PA879389,Mme,Marie-Philippe,Lubet,1957-09-06,Orléans,Retraitée,,,Ensemble pour la République,Loiret,1
PA942,M.,Charles,de Courson,1952-04-02,Paris 16,Conseiller référendaire honoraire à la Cour des comptes,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Marne,5
